4017	5	5	3	4	1	2	1	3	5	4
3174	4	3	0	0	1	5	0	3	3	3
513	5	1	1	1	3	4	3	2	4	1
10062	0	4	3	0	0	1	0	0	4	3
10245	2	4	2	1	5	3	5	1	3	1
1695	4	0	1	1	1	5	1	5	3	3
10298	2	5	0	3	2	0	0	2	2	5
2230	5	2	1	3	0	4	0	5	3	2
3375	2	3	5	3	3	4	3	2	3	2
3144	4	2	5	1	3	1	1	4	5	3
7047	3	4	2	5	2	4	1	1	0	4
10888	1	3	5	3	0	1	1	3	3	4
2587	4	1	2	2	2	4	2	5	1	2
1826	5	4	4	2	2	4	5	0	3	4
9580	5	0	0	3	5	1	1	4	5	3
8470	3	3	5	0	2	2	3	1	1	1
403	1	2	5	2	4	5	3	3	1	4
2813	1	0	4	1	0	3	4	1	3	1
3150	4	1	3	1	4	2	5	3	3	0
1667	1	0	4	2	4	1	3	1	3	4
9526	3	5	3	2	2	1	1	3	1	5
6945	2	5	4	3	0	0	1	0	4	0
10924	5	2	1	1	4	4	1	1	3	3
7575	5	3	3	1	0	2	5	1	1	2
6659	2	3	5	4	5	5	3	2	2	2
1371	0	1	4	5	1	4	3	5	4	0
6764	3	2	1	2	2	4	0	4	5	2
5290	0	2	3	0	5	0	5	4	3	4
25	4	4	2	4	2	5	5	2	4	5
7364	4	3	4	5	1	2	0	2	3	2
1856	4	2	3	5	0	5	0	3	3	1
8359	2	0	5	2	0	2	1	1	0	1
5361	2	3	5	1	4	1	5	5	2	1
6137	2	3	1	5	1	4	1	1	0	0
4266	0	1	4	4	3	4	4	0	4	5
10422	3	5	1	2	1	3	2	5	0	4
9199	1	2	5	4	1	5	1	5	5	2
8277	3	3	2	5	1	3	5	0	0	5
2663	1	1	0	4	1	5	3	2	1	4
2631	0	2	1	3	4	3	3	5	0	3
8066	5	3	4	2	1	3	5	5	4	5
1928	2	5	2	1	0	3	3	1	2	5
9698	1	1	2	4	1	4	4	5	3	5
3490	3	1	0	5	0	2	5	2	4	3
10361	3	5	5	2	2	1	2	4	4	2
10230	0	0	1	0	3	4	4	3	5	2
8596	5	2	5	5	2	2	3	5	1	4
3449	4	4	0	5	3	4	4	2	0	0
5380	4	5	4	2	2	5	3	4	5	3
3694	5	4	4	2	1	2	2	4	5	0
5209	3	0	2	5	5	3	0	1	4	3
10602	5	2	0	3	0	0	4	4	2	2
5371	4	1	4	1	2	1	4	1	1	1
5145	1	3	5	3	0	0	3	3	5	5
6148	3	4	1	3	0	0	4	3	5	1
8030	0	4	3	0	5	5	5	0	0	0
1263	2	2	4	4	4	2	1	2	4	5
636	2	2	1	4	4	3	0	3	3	0
1057	5	3	5	4	2	0	5	1	0	1
8406	0	4	0	0	2	5	3	5	2	4
10191	2	4	1	1	1	4	1	1	2	2
9656	1	3	5	4	4	4	1	5	1	4
2425	5	4	0	2	1	0	0	5	0	2
10352	2	2	3	3	1	5	4	3	5	2
6390	4	1	5	5	5	3	3	3	3	2
10351	0	3	5	1	3	0	4	1	4	5
3822	1	1	1	4	2	3	3	1	3	2
2731	5	0	4	3	0	4	2	5	5	2
956	1	3	2	4	5	3	1	2	4	1
7978	4	0	1	2	2	1	5	0	3	2
710	3	3	4	2	1	3	2	1	3	5
9337	2	0	4	0	4	1	2	1	0	1
2293	1	1	2	2	3	3	4	4	2	2
73	3	4	2	1	3	0	4	4	1	3
2045	4	3	4	1	1	2	3	4	4	3
7544	4	4	5	4	1	4	2	5	2	3
10399	1	4	3	5	3	3	4	4	3	5
4535	2	1	1	2	3	4	2	0	2	0
7241	5	3	1	5	3	1	4	4	1	5
4497	5	4	2	4	1	2	1	0	4	5
247	4	5	1	5	3	5	5	3	2	1
1589	1	2	5	2	3	5	3	4	3	1
9888	2	5	3	1	5	1	4	5	1	1
4231	4	1	3	4	4	3	4	0	2	4
3377	4	1	5	3	3	2	3	3	4	4
1609	5	5	0	1	0	5	3	4	4	2
3003	3	4	5	3	5	3	0	2	3	1
7897	0	0	4	0	4	0	0	5	0	2
3647	1	4	2	1	5	2	3	1	5	4
1320	2	2	4	1	3	3	5	5	2	5
4702	2	5	2	1	0	5	4	2	4	4
3803	1	5	3	1	1	3	5	2	5	5
6813	4	4	4	4	4	3	4	2	5	3
2353	3	4	4	0	2	3	2	0	3	0
6952	2	2	1	0	2	3	2	2	2	4
6971	1	2	4	4	1	3	5	5	0	1
9652	2	4	4	5	4	1	2	3	1	3
6878	1	5	2	4	4	1	5	1	2	0
8093	1	3	3	4	4	2	4	1	3	1
5101	2	5	3	4	3	1	1	4	5	5
6682	3	4	2	2	1	4	4	1	4	5
111	3	3	3	1	1	4	0	2	5	1
4746	3	0	4	3	4	2	4	5	0	5
7161	3	0	3	5	2	5	3	0	0	2
10256	3	5	5	4	2	3	5	2	3	2
3840	3	4	5	3	5	0	4	3	2	5
8391	4	4	5	4	2	1	0	3	2	1
2093	1	1	1	0	1	0	1	3	4	5
3098	5	4	5	3	5	5	3	4	3	4
738	4	0	5	5	0	4	0	5	4	3
388	2	3	1	0	3	2	4	0	4	5
2528	3	0	0	0	5	4	3	1	5	2
6538	4	3	2	4	2	5	4	1	5	5
3659	1	0	4	3	1	3	5	5	3	3
3585	1	1	5	2	3	5	2	3	1	2
10908	0	3	3	1	5	1	1	0	4	0
3596	4	5	3	4	2	4	1	2	5	1
10920	1	3	2	5	5	5	0	0	0	0
4416	5	3	0	1	1	0	2	3	1	1
4403	1	4	3	1	3	4	0	1	1	3
8357	3	2	4	2	2	1	4	2	3	1
3301	1	1	1	4	2	1	2	0	4	2
3903	1	5	2	1	4	4	1	3	2	0
2466	5	0	5	2	3	5	0	1	1	3
4973	1	2	4	5	5	1	1	4	1	1
952	1	3	3	1	0	1	2	0	3	4
8013	3	2	2	5	3	4	5	0	1	0
2638	3	1	3	2	1	0	5	4	0	1
5683	4	3	2	3	1	4	3	1	1	5
7914	0	0	1	2	2	5	4	3	5	1
2866	0	0	0	1	1	0	1	4	5	2
4563	4	0	5	3	1	1	1	0	4	0
6882	2	3	4	4	3	2	3	2	3	3
9489	3	3	4	3	2	0	2	2	4	3
3464	1	0	5	1	0	2	0	4	3	4
246	5	2	5	4	2	0	0	3	2	3
6156	1	5	3	4	2	4	4	5	4	5
7118	1	5	3	5	2	2	3	0	0	3
7990	5	1	0	0	2	2	5	0	1	3
4550	3	0	2	5	5	2	1	2	5	4
801	5	3	1	5	3	4	1	4	2	4
1447	2	0	3	1	5	1	4	5	4	4
8233	5	0	4	5	0	2	0	3	5	1
8987	0	1	2	4	2	5	3	0	0	2
7044	1	3	3	4	2	4	5	1	2	3
9405	4	1	5	3	5	5	2	5	3	0
1749	0	2	1	1	3	1	1	3	3	5
10696	4	1	2	1	4	3	4	4	4	5
1957	2	4	3	3	3	3	3	5	2	4
6785	0	2	0	3	2	4	2	2	3	4
8815	1	3	2	2	4	5	3	5	0	3
9098	5	1	2	2	1	2	5	4	5	2
1205	5	1	5	3	4	2	2	3	2	3
8731	0	5	4	4	4	4	3	1	1	2
3117	1	1	3	0	3	5	0	4	1	5
4375	2	2	4	4	3	1	4	4	0	1
8347	5	1	4	3	2	1	1	1	4	5
2974	2	4	0	3	0	0	4	2	1	2
8996	3	0	1	4	4	0	3	4	2	0
10593	2	0	4	2	5	0	2	3	3	5
1786	2	2	5	4	1	4	5	5	3	4
9568	5	0	4	0	1	4	1	1	3	2
10149	1	5	5	5	4	0	2	2	4	2
2569	4	1	5	0	1	5	5	2	2	3
1701	1	3	2	4	3	1	3	1	2	3
7238	2	2	1	5	4	0	5	4	0	4
851	0	0	0	5	5	0	5	0	3	5
